state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Nevada,2012,33000,0.1576,446,774,0.0031,0.0002,0.0642,0.0082
New Hampshire,2012,35740,0.0966,133,910,0.0011,0.0001,0.0739,0.0163
New Jersey,2012,39870,0.1071,602,1245,0.0015,0.0001,0.0425,0.0196
New Mexico,2012,31430,0.206,319,605,0.0016,0.0002,0.068,0.0124
New York,2012,39910,0.1598,1530,905,0.0036,0.0001,0.0452,0.0318
North Carolina,2012,31850,0.1798,833,658,0.0014,0.0001,0.0661,0.0131
North Dakota,2012,34110,0.1069,,607,0.001,0,0.0546,0.0195
Ohio,2012,33350,0.1628,1355,641,0.0012,0.0002,0.0497,0.02
Oklahoma,2012,30200,0.1727,531,563,0.0013,0.0002,0.0605,0.014
Oregon,2012,35650,0.1677,361,691,0.0041,0.0001,0.0425,0.0134
Pennsylvania,2012,34900,0.1388,827,685,0.0012,0.0002,0.0481,0.0176
Rhode Island,2012,37360,0.1387,140,925,0.0012,0.0002,0.047,0.0359
South Carolina,2012,30210,0.1824,237,625,0.001,0.0001,0.0783,0.0134
South Dakota,2012,29090,0.1339,24,556,0.001,0.0001,0.0534,0.0172
Tennessee,2012,30350,0.1804,723,573,0.0015,0.0002,0.055,0.0166
Texas,2012,32350,0.1785,1131,674,0.0013,0.0001,0.0454,0.0108
Utah,2012,32760,0.1231,422,675,0.0012,0.0002,0.0354,0.0065
Vermont,2012,34540,0.1136,55,908,0.0019,0.0001,0.1047,0.0202
Virginia,2012,36630,0.1191,533,823,0.001,0.0001,0.0439,0.0131
Washington,2012,40500,0.1359,695,763,0.003,0.0001,0.0403,0.0127
West Virginia,2012,28550,0.1728,468,565,0.0013,0.0003,0.0761,0.0184
Wisconsin,2012,33650,0.1288,483,650,0.0011,0.0001,0.0602,0.0135
Wyoming,2012,36740,0.1263,45,636,0.0031,0.0002,0.0723,0.0103
Alabama,2013,30390,0.1894,166,643,0.001,0.0001,0.0761,0.02
Alaska,2013,44350,0.0905,69,1042,0.0026,0.0001,0.0833,0.0113
Arizona,2013,34170,0.1859,527,769,0.0016,0.0002,0.0741,0.0065
Arkansas,2013,28910,0.1924,162,619,0.0013,0.0001,0.0689,0.0185
California,2013,38920,0.1671,1948,1077,0.0031,0.0001,0.0298,0.0132
Colorado,2013,37530,0.1296,433,806,0.0019,0.0002,0.0464,0.012
Connecticut,2013,42280,0.1052,439,1150,0.0012,0.0002,0.0412,0.0253
Delaware,2013,37320,0.1297,113,1029,0.001,0.0002,0.079,0.0149
Florida,2013,30660,0.1695,1268,838,0.0024,0.0001,0.094,0.0109
Georgia,2013,32510,0.1886,530,688,0.0017,0.0001,0.0565,0.0143
Hawaii,2013,36910,0.1087,69,1418,0.0045,0.0001,0.0541,0.0163
Idaho,2013,30540,0.1585,77,656,0.0011,0.0001,0.0544,0.0082
Illinois,2013,35720,0.1452,1072,693,0.001,0.0001,0.0393,0.0188
Indiana,2013,31990,0.1584,360,673,0.0009,0.0002,0.0474,0.0148
Iowa,2013,32380,0.1302,179,606,0.001,0.0001,0.0367,0.0133
Kansas,2013,32110,0.1362,158,620,0.0009,0.0001,0.0436,0.0133
Kentucky,2013,31220,0.184,665,611,0.0012,0.0002,0.0524,0.0202
Louisiana,2013,31260,0.1972,265,713,0.0011,0.0002,0.0568,0.0223
Maine,2013,33400,0.1333,125,753,0.0023,0.0001,0.1321,0.0208
Maryland,2013,40710,0.1032,749,1122,0.0014,0.0002,0.0409,0.0194
Massachusetts,2013,43830,0.1189,888,1136,0.0028,0.0002,0.0413,0.0313
Michigan,2013,34670,0.1683,909,681,0.0012,0.0002,0.0699,0.0168
Minnesota,2013,37390,0.1128,305,698,0.0015,0.0001,0.046,0.0179
Mississippi,2013,28240,0.244,100,640,0.0008,0.0001,0.0643,0.0195
Missouri,2013,32340,0.1633,620,639,0.0014,0.0002,0.059,0.0161
Montana,2013,30770,0.174,67,647,0.0019,0.0001,0.0784,0.0144
Nebraska,2013,31840,0.1301,41,641,0.0017,0.0001,0.0409,0.0154
Nevada,2013,33350,0.1569,398,797,0.0025,0.0002,0.0664,0.0074
New Hampshire,2013,35800,0.0877,157,979,0.0011,0.0002,0.0733,0.0168
New Jersey,2013,40250,0.1137,675,1246,0.0014,0.0001,0.0454,0.0194
New Mexico,2013,31490,0.2329,322,698,0.0013,0.0002,0.0725,0.012
New York,2013,40460,0.1614,1681,912,0.0039,0.0001,0.0462,0.0306
